id_municipio,nome_municipio,uf,regiao
1100015,ALTA FLORESTA D´OESTE,RO,Norte
1100023,ARIQUEMES,RO,Norte
1100031,CABIXI,RO,Norte
1100049,CACOAL,RO,Norte
1100056,CEREJEIRAS,RO,Norte
1100064,COLORADO DO OESTE,RO,Norte
1100072,CORUMBIARA,RO,Norte
1100080,COSTA MARQUES,RO,Norte
1100098,ESPIGAO D´OESTE,RO,Norte
1100106,GUAJARA-MIRIM,RO,Norte
1100114,JARU,RO,Norte
1100122,JI-PARANA,RO,Norte
1100130,MACHADINHO D´OESTE,RO,Norte
1100148,NOVA BRASILANDIA D´OESTE,RO,Norte
1100155,OURO PRETO DO OESTE,RO,Norte
1100189,PIMENTA BUENO,RO,Norte
1100205,PORTO VELHO,RO,Norte
1100254,PRESIDENTE MEDICI,RO,Norte
1100262,RIO CRESPO,RO,Norte
1100288,ROLIM DE MOURA,RO,Norte
1100296,SANTA LUZIA D´OESTE,RO,Norte
1100304,VILHENA,RO,Norte
1100320,SAO MIGUEL DO GUAPORE,RO,Norte
1100338,NOVA MAMORE,RO,Norte
1100346,ALVORADA D´OESTE,RO,Norte
1100379,ALTO ALEGRE DO PARECIS,RO,Norte
1100403,ALTO PARAISO,RO,Norte
1100452,BURITIS,RO,Norte
1100502,NOVO HORIZONTE DO OESTE,RO,Norte
1100601,CACAULANDIA,RO,Norte
1100700,CAMPO NOVO DE RONDONIA,RO,Norte
1100809,CANDEIAS DO JAMARI,RO,Norte
1100908,CASTANHEIRAS,RO,Norte
1100924,CHUPINGUAIA,RO,Norte
1100940,CUJUBIM,RO,Norte
1101005,GOVERNADOR JORGE TEIXEIRA,RO,Norte
1101104,ITAPUA DO OESTE,RO,Norte
1101203,MINISTRO ANDREAZZA,RO,Norte
1101302,MIRANTE DA SERRA,RO,Norte
1101401,MONTE NEGRO,RO,Norte
1101435,NOVA UNIAO,RO,Norte
1101450,PARECIS,RO,Norte
1101468,PIMENTEIRAS DO OESTE,RO,Norte
1101476,PRIMAVERA DE RONDONIA,RO,Norte
1101484,SAO FELIPE D OESTE,RO,Norte
1101492,SAO FRANCISCO DO GUAPORE,RO,Norte
1101500,SERINGUEIRAS,RO,Norte
1101559,TEIXEIROPOLIS,RO,Norte
1101609,THEOBROMA,RO,Norte
1101708,URUPA,RO,Norte
1101757,VALE DO ANARI,RO,Norte
1101807,VALE DO PARAISO,RO,Norte
